Found 0 violation(s).
         98739 function calls (96267 primitive calls) in 0.175 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1010    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     59/8    0.000    0.000    0.087    0.011 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      239    0.000    0.000    0.002    0.000 pathlib.py:741(parents)
      292    0.000    0.000    0.001    0.000 pathlib.py:531(__lt__)
       60    0.000    0.000    0.001    0.000 <frozen codecs>:319(decode)
       51    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      239    0.000    0.000    0.001    0.000 pathlib.py:268(__init__)
      8/1    0.000    0.000    0.062    0.062 threading.py:1058(_bootstrap_inner)
       80    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
      333    0.000    0.000    0.001    0.000 threading.py:299(__enter__)
      183    0.000    0.000    0.000    0.000 _parser.py:113(__init__)
    51/10    0.000    0.000    0.082    0.008 <frozen importlib._bootstrap>:911(_load_unlocked)
       73    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      333    0.000    0.000    0.000    0.000 threading.py:302(__exit__)
      240    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.RLock' objects}
      346    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.082    0.082 lint_wiki.py:288(lint_wiki)
      182    0.000    0.000    0.000    0.000 {built-in method posix._path_normpath}
       66    0.000    0.000    0.001    0.000 pathlib.py:200(_select_from)
        3    0.000    0.000    0.001    0.000 enum.py:918(_convert_)
       60    0.000    0.000    0.001    0.000 threading.py:468(acquire)
       70    0.000    0.000    0.000    0.000 threading.py:277(__init__)
      384    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       60    0.000    0.000    0.039    0.001 _base.py:428(result)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
       27    0.000    0.000    0.001    0.000 _compiler.py:516(_compile_info)
       59    0.000    0.000    0.005    0.000 lint_wiki.py:92(_resolve_internal_markdown_target)
       54    0.000    0.000    0.000    0.000 enum.py:1561(__and__)
       27    0.000    0.000    0.006    0.000 _parser.py:969(parse)
      118    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      396    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.084    0.084 lint_wiki.py:376(main)
      416    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       60    0.000    0.000    0.000    0.000 _base.py:497(set_running_or_notify_cancel)
       62    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
       32    0.000    0.000    0.001    0.000 dataclasses.py:760(_get_field)
        6    0.000    0.000    0.000    0.000 pathlib.py:1112(walk)
      584    0.000    0.000    0.000    0.000 pathlib.py:496(_parts_normcase)
      772    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISLNK}
        7    0.000    0.000    0.049    0.007 __init__.py:1(<module>)
